2020-07-03,Aga Zaryan & Szymon Mika ,Dziedziniec Pałacu pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-aga-zaryan-szymon-mika-bilety/17273
2020-07-03,Escaubei & Tomasz Nowak Quartet,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-escaubei-tomasz-nowak-quartet-bilety/17993
2020-07-04,Kajetan Galas Hammond Quartet ,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-kajetan-galas-hammond-quartet-bilety/18363
2020-07-04,Hot Swing ,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-hot-swing-bilety/17995
2020-07-04,Henryk Miśkiewicz  ,Klub u Muniaka,21:30,
2020-07-05,Henryk Miśkiewicz Quartet,Dziedziniec Pałacu pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-kwartet-henryka-miskiewicza-bilety/18379
2020-07-05,Mirosław Sitkowski Quintet,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-miroslaw-sitkowski-quintet-bilety/17997
2020-07-06,Old Metropolitan Band,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-old-metropolitan-band-bilety/17955
2020-07-06,jam session,Harris Piano Jazz Bar,21:30,
2020-07-06,Paweł Kaczmarczyk ,Piec Art,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-pawel-kaczmarczyk-bilety/18047
2020-07-07,Jazz Band Ball Orchestra & Przemek Dyakowski,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-jazz-band-ball-orchestra-bilety/17957
2020-07-07,Marian Pawlik Quartet,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-kuba-stankiewicz-bilety/18049
2020-07-07,Kuba Stankiewicz,Piec Art,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-marian-pawlik-quartet-bilety/17999
2020-07-08,Yumi Ito & Szymon Mika ,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-yumi-ito-szymon-mika-bilety/17959
2020-07-08,Yarosh Organ Trio & Dominik Wania ,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-yarosh-organ-trio-dominik-wania-bilety/18001
2020-07-08,Bogdan Hołowania ,Piec Art,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-krzysztof-scieranski-band-bilety/17961
2020-07-08,Adam Pierończyk Trio,Alchemia,20:00,https://www.ticketmaster.pl/event/summer-jazz-festival-adam-pieronczyk-trio-bilety/18345
2020-07-08,Przemyk Dyakowski,Klub u Muniaka,21:30,
2020-07-09,Krzysztof Ścierański Band,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-krzysztof-scieranski-band-bilety/17961
2020-07-09,Jacek Chruściński Quartet,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-jacek-chruscinski-quartet-bilety/18003
2020-07-09,Mateusz Pałka,Piec Art,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-mateusz-palka-bilety/18053
2020-07-09,Jazzbaja,Pracownia pod Baranami,19:00,
2020-07-10,Little Egoists,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-little-egoists-bilety/17963
2020-07-10,Ireneusz Pałac Sextet,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-ireneusz-palac-sekstet-bilety/18005
2020-07-10,Joachim Mencel,Piec Art,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-joachim-mencel-bilety/18055
2020-07-11,Marek Napiórkowski Trio,Dziedziniec Pałacu pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-marek-napiorkowski-band-bilety/17943
2020-07-11,Jakub Mizeracki Trio,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-tomasz-chyla-quintet-bilety/18007
2020-07-11,Dominik Wania,Piec Art,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-dominik-wania-bilety/18057
2020-07-12,Dorota Miśkiewicz & Marek Napiórkowski,Dziedziniec Pałacu pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-dorota-miskiewicz-marek-napiorkowski-bilety/17445
2020-07-12,Noise Trio,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-noise-trio-bilety/18009
2020-07-12,Kasia Pietrzko,Piec Art,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-kasia-pietrzko-bilety/18059
2020-07-13,Lora Szafran,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-lora-szafran-bilety/17965
2020-07-13,jam session,Harris Piano Jazz Bar,21:30,
2020-07-14,Adam Kawończyk Kwartet,Piwnica pod Baranami,21:00,
2020-07-14,New Bone,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-new-bone-bilety/17967
2020-07-15,Andrzej Olejniczak & Dominik Wania Duo,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-andrzej-olejniczak-dominik-wania-trio-bilety/17969
2020-07-15,Ilona Damięcka Trio,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-ilona-damiecka-trio-bilety/18013
2020-07-16,Adam Kawończyk Kwartet,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-adam-kawonczyk-kwartet-bilety/17971
2020-07-16,Karol Dobrowolski Trio - Django Tribute,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-karol-dobrowolski-trio-django-tribute-bilety/18015
2020-07-16,Andrzej Olejniczak  ,Klub u Muniaka,21:30,
2020-07-16,Kamila Drabek Tercet,Pracownia pod Baranami,19:00,
2020-07-17,Stanisław Sojka recital,Dziedziniec Pałacu pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-stanislaw-sojka-recital-bilety/17945
2020-07-17,Funk de Nite,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-funk-de-nite-bilety/18017
2020-07-17,Andrzej Olejniczak,Klub u Muniaka,21:30,
2020-07-17,Old Metropolitan Band,Zamek Tenczyn w Rudnie,20:00,
2020-07-18,Krystyna Prońko recital,Dziedziniec Pałacu pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-krystyna-pronko-recital-bilety/17947
2020-07-18,Soul Finger,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-soul-finger-bilety/18019
2020-07-19,Jorgos Skolias & Dominik Wania,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-jorgos-skolias-dominik-wania-bilety/17973
2020-07-19,"Adam ""Szabas"" Kowalewski Trio",Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-adam-szabas-kowalewski-trio-bilety/18021
2020-07-20,Bernard Maseli ,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-bernard-maseli-bilety/17975
2020-07-20,jam session,Harris Piano Jazz Bar,21:30,
2020-07-20,Bracia Oleś,Alchemia,20:00,https://www.ticketmaster.pl/event/summer-jazz-festival-bracia-oles-bilety/18347
2020-07-21,Mariusz Bogdanowicz Sextet,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-mariusz-bogdanowicz-sekstet-bilety/17977
2020-07-21,LeNo Quartet: Tribute to Adderley,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-tribute-to-aderlay-quartet-bilety/18023
2020-07-22,Włodzimierz Nahorny Trio,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-trio-wlodzimierza-nahornego-bilety/17979
2020-07-22,Mateusz Gawęda Trio,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-mateusz-gaweda-trio-bilety/18025
2020-07-23,Marek Bałata & Dominik Wania,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-marek-balata-dominik-wania-bilety/17981
2020-07-23,Pasquale Stafano-Gianni Trio,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-pasquale-stafano-gianni-iorio-bilety/18027
2020-07-23,Miłosz Bazarnik Trio ,Pracownia pod Baranami,19:00,
2020-07-24,Adam Bałdych - Pasquale Stafano - Gianni Iorio,Dziedziniec Pałacu pod Baranami,21:00,
2020-07-24,Szymon Mika Trio,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-szymon-mika-trio-bilety/18029
2020-07-25,Adam Bałdych & Paweł Kaczmarek,Dziedziniec Pałacu pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-adam-baldych-pawel-kaczmarczyk-bilety/17951
2020-07-25,Patrycjusz Gruszecki Trio,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-patrycjusz-gruszecki-trio-bilety/18031
2020-07-26,Piotr Orzechowski & Kuba Więcek,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-piotr-orzechowski-kuba-wiecek-bilety/17983
2020-07-26,Marcin Ślusarczyk Quartet: Tribute to Muniak,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-tribute-to-muniak-quartet-bilety/18033
2020-07-27,Ewa Uryga recital,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-ewa-uryga-band-bilety/17985
2020-07-27,jam session,Harris Piano Jazz Bar,21:30,
2020-07-28,Boba Jazz Band - 30.lecie zespołu,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-boba-jazz-band-bilety/17987
2020-07-28,Orchestra Dedicated - Groborz&Cronies,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-silvan-joray-trio-bilety/18035
2020-07-29,Wojciech Myrczek & Paweł Tomaszewski,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-wojciech-myrczek-pawel-tomaszewski-bilety/17989
2020-07-29,Silvan Joray Trio,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-orchestra-dedicated-groborz-cronies-bilety/18037
2020-07-30,Krzesimir Dębski & Tadeusz Sudnik,Piwnica pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-krzesimir-debski-tadeusz-sudnik-bilety/17991
2020-07-30,Electric Shepard,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-electric-shepard-bilety/18039
2020-07-30,Niedbała/Sikora/Przewoźnik Trio,Pracownia pod Baranami,19:00,
2020-07-31,Laboratorium,Dziedziniec Pałacu pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-laboratorium-bilety/17953
2020-07-31,Kuba Płużek Quartet,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-kuba-pluzek-kwartet-bilety/18041
2020-07-31,Max Klezmer Band,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-max-klezmer-band-bilety/18043
2020-07-31,Krzesimir Dębski  ,Klub u Muniaka,21:30,
2020-08-01,Grażyna Auguścik & Jarosław Bester,Dziedziniec Pałacu pod Baranami,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-friends-special-guests-bilety/18063
2020-08-01,Max Klezmer Band,Harris Piano Jazz Bar,21:00,https://www.ticketmaster.pl/event/summer-jazz-festival-max-klezmer-band-bilety/18043
2020-08-01,Sketchbook Quartet,Alchemia,20:00,https://www.ticketmaster.pl/event/summer-jazz-festival-sketchbook-quartet-bilety/18349
2020-08-02,AMC Trio,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-amc-trio-bilety/18045
2020-08-02,Urszula Dudziak Show,Muzeum Manggha,20:00,https://www.ticketmaster.pl/event/summer-jazz-festival-urszula-dudziak-show-bilety/18061
2020-08-03,jam session,Harris Piano Jazz Bar,21:30,
2020-08-04,Mateusz Pałka Trio,Harris Piano Jazz Bar,21:30,https://www.ticketmaster.pl/event/summer-jazz-festival-mateusz-palka-bilety/18053
2020-08-07,Friends & special guests,Dziedziniec Pałacu pod Baranami,20:00,https://www.ticketmaster.pl/event/summer-jazz-festival-friends-karen-edwards-bilety/18063
2020-08-08,Fusion Night,Kijów Centrum,20:00,https://www.ticketmaster.pl/event/fusion-night-billy-cobham-adam-baldych-vladislav-adzik-sendecki-bilety/17349
2020-08-08,Piotr Baron  ,Klub u Muniaka,21:30,
2020-08-15,Adam Makowicz & Leszek Możdżer,ICE Kraków,20:00,https://www.ticketmaster.pl/event/summer-jazz-festival-adam-makowicz-leszek-mozdzer-bilety/17049